CandidateID,AgeGroup,Gender,Race,YearsExperience,InterviewScore,Hired
1,25-34,Male,Majority,3,85,Yes
2,35-44,Female,Majority,5,88,No
3,18-24,Male,Minority,1,70,No
4,45-54,Male,Majority,10,92,Yes
5,25-34,Female,Minority,4,90,No
6,55+,Male,Majority,20,95,No
7,35-44,Male,Majority,6,82,Yes
8,25-34,Female,Majority,3,85,No
9,45-54,Female,Minority,12,88,No
10,25-34,Male,Minority,2,75,Yes
11,35-44,Male,Majority,8,89,Yes
12,18-24,Female,Majority,1,80,No
13,55+,Female,Majority,18,91,No
14,25-34,Male,Majority,4,84,Yes
15,35-44,Female,Minority,7,87,No
16,45-54,Male,Minority,14,90,Yes
17,25-34,Female,Majority,3,83,No
18,18-24,Male,Majority,2,78,Yes
19,35-44,Male,Majority,5,86,Yes
20,55+,Male,Minority,16,88,No
21,25-34,Female,Minority,4,89,No
22,45-54,Female,Majority,11,92,No
23,35-44,Male,Minority,6,84,Yes
24,25-34,Male,Majority,3,81,Yes
25,18-24,Female,Minority,1,75,No
26,55+,Female,Minority,22,94,No
27,35-44,Female,Majority,7,88,No
28,45-54,Male,Majority,13,91,Yes
29,25-34,Male,Minority,4,82,Yes
30,18-24,Male,Majority,1,77,Yes
31,35-44,Female,Minority,8,90,No
32,55+,Male,Majority,19,93,No
33,25-34,Female,Majority,3,85,No
34,45-54,Female,Minority,10,87,No
35,35-44,Male,Majority,6,86,Yes
36,18-24,Female,Majority,2,80,No
37,25-34,Male,Majority,5,88,Yes
38,55+,Female,Majority,25,96,No
39,45-54,Male,Minority,12,89,Yes
40,35-44,Female,Majority,9,91,No
